ID_EMPLEADO,NOMBRES,APELLIDOS,EMAIL,TELEFONO,FECHA_INGRESO,ID_CARGOS,SUELDO,PCT_COMISION,ID_GERENTE,ID_DPTO
117,SIGAL,TOBIAS,STOBIAS,5.151.274.564,1997-07-24,PU_CLERK,2800,.00,114,30
118,GUY,HIMURO,GHIMURO,5.151.274.565,1998-11-15,PU_CLERK,2600,.00,114,30
119,KAREN,COLMENARES,KCOLMENA,5.151.274.566,1999-08-10,PU_CLERK,2500,.00,114,30
120,MATTHEW,WEISS,MWEISS,6.501.231.234,1996-07-18,ST_MAN,8000,.00,121,50
121,ADAM,FRIPP,AFRIPP,6.501.232.234,1997-04-10,ST_MAN,8200,.00,121,50
122,PAYAM,KAUFLING,PKAUFLIN,6.501.233.234,1995-05-01,ST_MAN,7900,.00,121,50
123,SHANTA,VOLLMAN,SVOLLMAN,6.501.234.234,1997-10-10,ST_MAN,6500,.00,121,50
124,KEVIN,MOURGOS,KMOURGOS,6.501.235.234,1999-11-16,ST_MAN,5800,.00,121,50
125,JULIA,NAYER,JNAYER,6.501.241.214,1997-07-16,ST_CLERK,3200,.00,121,50
126,IRENE,MIKKILINENI,IMIKKILI,6.501.241.224,1998-09-28,ST_CLERK,2700,.00,121,50
127,JAMES,LANDRY,JLANDRY,6.501.241.334,1999-01-14,ST_CLERK,2400,.00,121,50
128,STEVEN,MARKLE,SMARKLE,6.501.241.434,2000-03-08,ST_CLERK,2200,.00,121,50
129,LAURA,BISSOT,LBISSOT,6.501.245.234,1997-08-20,ST_CLERK,3300,.00,121,50
130,MOZHE,ATKINSON,MATKINSO,6.501.246.234,1997-10-30,ST_CLERK,2800,.00,121,50
131,JAMES,MARLOW,JAMRLOW,6.501.247.234,1997-02-16,ST_CLERK,2500,.00,121,50
132,TJ,OLSON,TJOLSON,6.501.248.234,1999-04-10,ST_CLERK,2100,.00,121,50
133,JASON,MALLIN,JMALLIN,6.501.271.934,1996-06-14,ST_CLERK,3300,.00,121,50
134,MICHAEL,ROGERS,MROGERS,6.501.271.834,1998-08-26,ST_CLERK,2900,.00,121,50
135,KI,GEE,KGEE,6.501.271.734,1999-12-12,ST_CLERK,2400,.00,121,50
136,HAZEL,PHILTANKER,HPHILTAN,6.501.271.634,2000-02-06,ST_CLERK,2200,.00,121,50
137,RENSKE,LADWIG,RLADWIG,6.501.211.234,1995-07-14,ST_CLERK,3600,.00,121,50
138,STEPHEN,STILES,SSTILES,6.501.212.034,1997-10-26,ST_CLERK,3200,.00,121,50
139,JOHN,SEO,JSEO,6.501.212.019,1998-02-12,ST_CLERK,2700,.00,121,50
140,JOSHUA,PATEL,JPATEL,6.501.211.834,1998-04-06,ST_CLERK,2500,.00,121,50
141,TRENNA,RAJS,TRAJS,6.501.218.009,1995-10-17,ST_CLERK,3500,.00,121,50
142,CURTIS,DAVIES,CDAVIES,6.501.212.994,1997-01-29,ST_CLERK,3100,.00,121,50
143,RANDALL,MATOS,RMATOS,6.501.212.874,1998-03-15,ST_CLERK,2600,.00,121,50
144,PETER,VARGAS,PVARGAS,6.501.212.004,1998-07-09,ST_CLERK,2500,.00,121,50
145,JOHN,RUSSELL,JRUSSEL,011.44.1344.429268,1996-10-01,SA_MAN,14000,40.00,145,80
146,KAREN,PARTNERS,KPARTNER,011.44.1344.467268,1997-01-05,SA_MAN,13500,30.00,145,80
147,ALBERTO,ERRAZURIZ,AERRAZUR,011.44.1344.429278,1997-03-10,SA_MAN,12000,30.00,145,80
148,GERALD,CAMBRAULT,GCAMBRAU,011.44.1344.619268,1999-10-15,SA_MAN,11000,30.00,145,80
149,ELENI,ZLOTKEY,EZLOTKEY,011.44.1344.429018,2000-01-29,SA_MAN,10500,20.00,145,80
150,PETER,TUCKER,PTUCKER,011.44.1344.129268,1997-01-30,SA_REP,10000,30.00,145,80
151,DAVID,BERNSTEIN,DBERNSTE,011.44.1344.345268,1997-03-24,SA_REP,9500,25.00,145,80
152,PETER,HALL,PHALL,011.44.1344.478968,1997-08-20,SA_REP,9000,25.00,145,80
153,CHRISTOPHER,OLSEN,COLSEN,011.44.1344.498718,1998-03-30,SA_REP,8000,20.00,145,80
154,NANETTE,CAMBRAULT,NCAMBRAU,011.44.1344.987668,1998-12-09,SA_REP,7500,20.00,145,80
155,OLIVER,TUVAULT,OTUVAULT,011.44.1344.486508,1999-11-23,SA_REP,7000,15.00,145,80
156,JANETTE,KING,JKING,011.44.1345.429268,1996-01-30,SA_REP,10000,35.00,145,80
157,PATRICK,SULLY,PSULLY,011.44.1345.929268,1996-03-04,SA_REP,9500,35.00,145,80
158,ALLAN,MCEWEN,AMCEWEN,011.44.1345.829268,1996-08-01,SA_REP,9000,35.00,145,80
159,LINDSEY,SMITH,LSMITH,011.44.1345.729268,1997-03-10,SA_REP,8000,30.00,145,80
160,LOUISE,DORAN,LDORAN,011.44.1345.629268,1997-12-15,SA_REP,7500,30.00,145,80
161,SARATH,SEWALL,SSEWALL,011.44.1345.529268,1998-11-03,SA_REP,7000,25.00,145,80
162,CLARA,VISHNEY,CVISHNEY,011.44.1346.129268,1997-11-11,SA_REP,10500,25.00,145,80
163,DANIELLE,GREENE,DGREENE,011.44.1346.229268,1999-03-19,SA_REP,9500,15.00,145,80
164,MATTEA,MARVINS,MMARVINS,011.44.1346.329268,2000-01-24,SA_REP,7200,10.00,145,80
165,DAVID,LEE,DLEE,011.44.1346.529268,2000-02-23,SA_REP,6800,10.00,145,80
166,SUNDAR,ANDE,SANDE,011.44.1346.629268,2000-03-24,SA_REP,6400,10.00,145,80
167,AMIT,BANDA,ABANDA,011.44.1346.729268,2000-04-21,SA_REP,6200,10.00,145,80
168,LISA,OZER,LOZER,011.44.1343.929268,1997-03-11,SA_REP,11500,25.00,145,80
169,HARRISON,BLOOM,HBLOOM,011.44.1343.829268,1998-03-23,SA_REP,10000,20.00,145,80
170,TAYLER,FOX,TFOX,011.44.1343.729268,1998-01-24,SA_REP,9600,20.00,145,80
171,WILLIAM,SMITH,WSMITH,011.44.1343.629268,1999-02-23,SA_REP,7400,15.00,145,80
172,ELIZABETH,BATES,EBATES,011.44.1343.529268,1999-03-24,SA_REP,7300,15.00,145,80
173,SUNDITA,KUMAR,SKUMAR,011.44.1343.329268,2000-04-21,SA_REP,6100,10.00,145,80
174,ELLEN,ABEL,EABEL,011.44.1644.429267,1996-05-11,SA_REP,11000,30.00,145,80
175,ALYSSA,HUTTON,AHUTTON,011.44.1644.429266,1997-03-19,SA_REP,8800,25.00,145,80
176,JONATHON,TAYLOR,JTAYLOR,011.44.1644.429265,1998-03-24,SA_REP,8600,20.00,145,80
177,JACK,LIVINGSTON,JLIVINGS,011.44.1644.429264,1998-04-23,SA_REP,8400,20.00,145,80
178,KIMBERELY,GRANT,KGRANT,011.44.1644.429263,1999-05-24,SA_REP,7000,15.00,145,80
179,CHARLES,JOHNSON,CJOHNSON,011.44.1644.429262,2000-01-04,SA_REP,6200,10.00,145,80
180,WINSTON,TAYLOR,WTAYLOR,6.505.079.876,1998-01-24,SH_CLERK,3200,.00,121,50
181,JEAN,FLEAUR,JFLEAUR,6.505.079.877,1998-02-23,SH_CLERK,3100,.00,121,50
182,MARTHA,SULLIVAN,MSULLIVA,6.505.079.878,1999-06-21,SH_CLERK,2500,.00,121,50
183,GIRARD,GEONI,GGEONI,6.505.079.879,2000-02-03,SH_CLERK,2800,.00,121,50
184,NANDITA,SARCHAND,NSARCHAN,6.505.091.876,1996-01-27,SH_CLERK,4200,.00,121,50
185,ALEXIS,BULL,ABULL,6.505.092.876,1997-02-20,SH_CLERK,4100,.00,121,50
186,JULIA,DELLINGER,JDELLING,6.505.093.876,1998-06-24,SH_CLERK,3400,.00,121,50
187,ANTHONY,CABRIO,ACABRIO,6.505.094.876,1999-02-07,SH_CLERK,3000,.00,121,50
188,KELLY,CHUNG,KCHUNG,6.505.051.876,1997-06-14,SH_CLERK,3800,.00,121,50
189,JENNIFER,DILLY,JDILLY,6.505.052.876,1997-08-13,SH_CLERK,3600,.00,121,50
190,TIMOTHY,GATES,TGATES,6.505.053.876,1998-07-11,SH_CLERK,2900,.00,121,50
191,RANDALL,PERKINS,RPERKINS,6.505.054.876,1999-12-19,SH_CLERK,2500,.00,121,50
192,SARAH,BELL,SBELL,6.505.011.876,1996-02-04,SH_CLERK,4000,.00,121,50
193,BRITNEY,EVERETT,BEVERETT,6.505.012.876,1997-03-03,SH_CLERK,3900,.00,121,50
194,SAMUEL,MCCAIN,SMCCAIN,6.505.013.876,1998-07-01,SH_CLERK,3200,.00,121,50
195,VANCE,JONES,VJONES,6.505.014.876,1999-03-17,SH_CLERK,2800,.00,121,50
196,ALANA,WALSH,AWALSH,6.505.079.811,1998-04-24,SH_CLERK,3100,.00,121,50
197,KEVIN,FEENEY,KFEENEY,6.505.079.822,1998-05-23,SH_CLERK,3000,.00,121,50
198,DONALD,OCONNELL,DOCONNEL,6.505.079.833,1999-06-21,SH_CLERK,2600,.00,121,50
199,DOUGLAS,GRANT,DGRANT,6.505.079.844,2000-01-13,SH_CLERK,2600,.00,121,50
200,JENNIFER,WHALEN,JWHALEN,5.151.234.444,1987-09-17,AD_ASST,4400,.00,200,10
201,MICHAEL,HARTSTEIN,MHARTSTE,5.151.235.555,1996-02-17,MK_MAN,13000,.00,201,20
202,PAT,FAY,PFAY,6.031.236.666,1997-08-17,MK_REP,6000,.00,201,20
203,SUSAN,MAVRIS,SMAVRIS,5.151.237.777,1994-06-07,HR_REP,6500,.00,203,40
204,HERMANN,BAER,HBAER,5.151.238.888,1994-06-07,PR_REP,10000,.00,204,70
205,SHELLEY,HIGGINS,SHIGGINS,5.151.238.080,1994-06-07,AC_MGR,12000,.00,205,110
206,WILLIAM,GIETZ,WGIETZ,5.151.238.181,1994-06-07,AC_ACCOUNT,8300,.00,205,110
